sample,group,lat,lng,NCBI accession number,# raw reads,% mapped reads,Medium insert size,coverage
06SAMA0103,SAMA,13.9167,-8.0833,pending,22045130,97.78%,429,8.0
06SAMA0130,SAMA,13.9167,-8.0833,pending,23756245,98.07%,427,8.6
06FOUN0009,FOUN,12.891630000000001,-9.46063,pending,42565747,94.19%,407,14.8
06FOUN0010,FOUN,12.891630000000001,-9.46063,pending,56097824,90.67%,368,18.8
06FOUN0026,FOUN,12.891630000000001,-9.46063,pending,25316623,90.22%,405,8.5
06FOUN0028,FOUN,12.891630000000001,-9.46063,pending,20774239,93.10%,400,7.2
06DONE0022,DONE,12.80683,-7.9847600000000005,pending,22844443,95.41%,401,8.1
06DONE0044,DONE,12.80683,-7.9847600000000005,pending,52238457,89.33%,393,17.3
06DONE0045,DONE,12.80683,-7.9847600000000005,pending,50681550,92.93%,380,17.4
06DONE0046,DONE,12.80683,-7.9847600000000005,pending,23051498,85.91%,404,7.3
06DONE0104,DONE,12.80683,-7.9847600000000005,pending,42555805,93.45%,421,14.7
06DONE0132,DONE,12.80683,-7.9847600000000005,pending,20050934,95.48%,422,7.1
06BANA0008,BANA,12.8,-8.05,pending,39531310,90.14%,400,13.2
06BANA0010,BANA,12.8,-8.05,pending,30501977,93.57%,333,10.6
06BANA0012,BANA,12.8,-8.05,pending,29949432,89.43%,389,9.9
06BANA0013,BANA,12.8,-8.05,pending,50438159,94.72%,351,17.7
06BANA0016,BANA,12.8,-8.05,pending,22003804,92.56%,424,7.5
06BANA0035,BANA,12.8,-8.05,pending,20886896,95.82%,364,7.4
2006NGAB901E,NGAB,12.6935,-7.8499,pending,54121189,98.64%,389,19.8
06SENO0003,SENO,12.5167,-7.9167,pending,22767308,91.54%,421,7.7
06SENO0009,SENO,12.5167,-7.9167,pending,20707512,98.46%,401,7.6
06SENO0021,SENO,12.5167,-7.9167,pending,19005670,98.17%,420,6.9
06SENO0024,SENO,12.5167,-7.9167,pending,49386568,98.05%,413,17.9
06SENO0031,SENO,12.5167,-7.9167,pending,22797847,87.57%,412,7.4
06SENO0035,SENO,12.5167,-7.9167,pending,21437580,89.65%,427,7.1
06FARA0003,FARA,12.436639999999999,-8.20617,pending,30276335,91.94%,400,10.3
06FARA0004,FARA,12.436639999999999,-8.20617,pending,49210477,91.05%,399,16.6
06FARA0007,FARA,12.436639999999999,-8.20617,pending,23441093,94.48%,415,8.2
06FARA0008,FARA,12.436639999999999,-8.20617,pending,27015461,97.67%,399,9.8
06FARA0009,FARA,12.436639999999999,-8.20617,pending,22953867,98.10%,417,8.3
06KELA0003,KELA,11.88683,-8.44744,pending,22044504,98.75%,405,8.1
06KELA0016,KELA,11.88683,-8.44744,pending,52310238,98.44%,411,19.1
06KELA0066,KELA,11.88683,-8.44744,pending,20346700,97.97%,405,7.4
06KELA0084,KELA,11.88683,-8.44744,pending,19868669,98.51%,405,7.2
06KELA0106,KELA,11.88683,-8.44744,pending,17095249,98.63%,421,6.2
06SELI0102,SEL,11.7,-8.2833,pending,20456085,96.27%,441,7.3
06SELI0106,SEL,11.7,-8.2833,pending,58579044,92.80%,305,20.1
06SELI0114,SEL,11.7,-8.2833,pending,23034202,93.58%,399,8.0
06SELI0117,SEL,11.7,-8.2833,pending,20726953,96.36%,429,7.4
06SELI0123,SEL,11.7,-8.2833,pending,64363548,96.87%,403,23.1
06FOUM0032,FOUM,5.48505,10.60005,pending,22249164,95.54%,419,7.9
06FOUM0033,FOUM,5.48505,10.60005,pending,22534380,90.74%,420,7.6
06FOUM0035,FOUM,5.48505,10.60005,pending,91730833,96.17%,361,32.7
06FOUM0036,FOUM,5.48505,10.60005,pending,32191373,98.32%,417,11.7
06FOUM0037,FOUM,5.48505,10.60005,pending,20476425,94.46%,392,7.2
2012TNZK004,TNZK,-6.8333,39.2667,pending,30482811,97.91%,350,11.1
2012TNZK039,TNZK,-6.8333,39.2667,pending,58800000,98.59%,324,21.5
2012TNZK042,TNZK,-6.8333,39.2667,pending,26662011,98.27%,347,9.7
2012TNZK044,TNZK,-6.8333,39.2667,pending,34466136,97.05%,367,12.4
2012TNZK048,TNZK,-6.8333,39.2667,pending,31895511,98.37%,321,11.6
2012TNZK057,TNZK,-6.8333,39.2667,pending,28687884,98.01%,327,10.4
2015NCHE001,NCHE,-9.2869,28.759,pending,26854122,96.29%,404,9.6
2015NCHE002,NCHE,-9.2869,28.759,pending,23339226,98.59%,438,8.5
2015NCHE003,NCHE,-9.2869,28.759,pending,28837835,86.61%,366,9.3
2015NCHE004,NCHE,-9.2869,28.759,pending,31765127,90.28%,380,10.6
2015NCHE005,NCHE,-9.2869,28.759,pending,44781499,98.51%,364,16.3
2015NCHE006,NCHE,-9.2869,28.759,pending,27283888,97.63%,412,9.9
2011BOU003,BOU,-11.4894,43.3975,pending,27677011,96.89%,386,9.9
2011BOU015,BOU,-11.4894,43.3975,pending,24672148,98.09%,390,9.0
2011BOU019,BOU,-11.4894,43.3975,pending,23117304,96.83%,403,8.3
2011BOU029,BOU,-11.4894,43.3975,pending,20383883,98.54%,400,7.4
2011BOU030,BOU,-11.4894,43.3975,pending,23814955,97.62%,393,8.6
2011BOU042,BOU,-11.4894,43.3975,pending,50555233,96.45%,398,18.1
2011BOE005,BOE,-11.5659,43.2872,pending,23597208,97.66%,400,8.5
2011BOE007,BOE,-11.5659,43.2872,pending,23948978,98.24%,407,8.7
2011BOE020,BOE,-11.5659,43.2872,pending,23726039,98.43%,410,8.6
2011BOE035,BOE,-11.5659,43.2872,pending,60884880,97.67%,260,22.0
2011BOE036,BOE,-11.5659,43.2872,pending,25832367,97.82%,250,9.4
2011BOE048,BOE,-11.5659,43.2872,pending,29477875,97.55%,395,10.7
2011OSS001,OSS,-11.5884,43.2776,pending,18415486,98.69%,418,6.7
2011OSS012,OSS,-11.5884,43.2776,pending,22492203,98.67%,408,8.2
2011OSS013,OSS,-11.5884,43.2776,pending,20531472,97.82%,421,7.4
2011OSS017,OSS,-11.5884,43.2776,pending,20844334,98.32%,415,7.6
2011OSS018,OSS,-11.5884,43.2776,pending,49813232,98.66%,395,18.2
2011OSS027,OSS,-11.5884,43.2776,pending,23657169,98.51%,411,8.6
2011MUT002,MUT,-11.6099,43.3903,pending,24123640,98.78%,375,8.8
2011MUT038,MUT,-11.6099,43.3903,pending,26549241,91.82%,418,9.0
2011MUT039,MUT,-11.6099,43.3903,pending,61654286,90.30%,349,20.6
2011MUT041,MUT,-11.6099,43.3903,pending,42833005,96.08%,415,15.2
2011MUT045,MUT,-11.6099,43.3903,pending,22795876,95.25%,430,8.0
2011MUT046,MUT,-11.6099,43.3903,pending,21616511,93.74%,421,7.5
2011SAL001,SAL,-11.6803,43.2661,pending,20818098,98.51%,432,7.6
2011SAL003,SAL,-11.6803,43.2661,pending,23421787,97.97%,440,8.5
2011SAL005,SAL,-11.6803,43.2661,pending,59656534,98.28%,400,21.7
2011SAL008,SAL,-11.6803,43.2661,pending,19583349,98.80%,413,7.2
2011MAL006,MAL,-11.8865,43.5063,pending,45050379,97.90%,296,16.3
2011MAL017,MAL,-11.8865,43.5063,pending,69276716,98.74%,297,25.3
2011MAL020,MAL,-11.8865,43.5063,pending,26061794,98.12%,314,9.5
2011MAL028,MAL,-11.8865,43.5063,pending,22911609,98.37%,355,8.3
2011MAL083,MAL,-11.8865,43.5063,pending,34118415,97.31%,288,12.3
2011MAL088,MAL,-11.8865,43.5063,pending,29032425,97.65%,322,10.5
2011MIR019,MIR,-12.302,43.6372,pending,25303206,97.75%,386,9.2
2011MIR032,MIR,-12.302,43.6372,pending,28069375,97.56%,393,10.1
2011MIR033,MIR,-12.302,43.6372,pending,27654576,97.24%,374,10.0
2011MIR036,MIR,-12.302,43.6372,pending,91169806,96.13%,341,32.5
2011MIR056,MIR,-12.302,43.6372,pending,25092357,96.53%,382,9.0
2011MIR058,MIR,-12.302,43.6372,pending,25570335,96.78%,377,9.2
2011WAN033,WAN,-12.3451,43.8001,pending,33242529,97.50%,297,12.0
2011WAN035,WAN,-12.3451,43.8001,pending,28550801,97.23%,307,10.3
2011WAN041,WAN,-12.3451,43.8001,pending,31590508,96.12%,342,11.2
2011WAN042,WAN,-12.3451,43.8001,pending,83751592,96.81%,316,30.0
2011WAN043,WAN,-12.3451,43.8001,pending,90390954,96.85%,316,32.4
2011WAN045,WAN,-12.3451,43.8001,pending,27397435,96.55%,352,9.8
2011ASS097,ASS,-12.2373,44.3165,pending,24931971,98.58%,373,9.1
2011ASS195,ASS,-12.2373,44.3165,pending,25499747,97.06%,398,9.2
2011ASS213,ASS,-12.2373,44.3165,pending,20935598,98.21%,393,7.6
2011MOY057,MOY,-12.3093,44.4395,pending,51606695,92.20%,403,17.6
2011MOY063,MOY,-12.3093,44.4395,pending,26306902,91.74%,410,8.9
2011MOY069,MOY,-12.3093,44.4395,pending,24675282,88.39%,430,8.1
2011MOY072,MOY,-12.3093,44.4395,pending,24530149,92.45%,396,8.4
2011MOY073,MOY,-12.3093,44.4395,pending,36126723,75.67%,399,10.1
